placeNumber,placeName,shortDetail,longDetail,websiteLink,googleMapLink,location,address,characteristics,openningHours,price
10,神戸どうぶつ王国,神戸どうぶつ王国は、動物とのふれあいやショーが楽しめる、全天候型の動物テーマパークです。,神戸どうぶつ王国は、動物とのふれあいやショーが楽しめる、全天候型の動物テーマパークです。広大な温室内では、鳥やカピバラ、カンガルーなど、多種多様な動物たちが自然に近い環境で展示されています。訪問者は、動物たちに直接触れたり、餌をあげたりすることができ、特に子ども連れのファミリーに人気です。また、迫力満点のバードショーやアニマルショーも見どころの一つです。天候を気にせず楽しめるため、雨の日でも快適に過ごせるのが魅力です。,https://www.kobe-oukoku.com/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3282.00242961223!2d135.2199665113606!3d34.65464157282323!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x600091f82316e69b%3A0x8ea652d596843c4!2z56We5oi25YuV54mp546L5ZyL!5e0!3m2!1szh-TW!2sjp!4v1729836761445!5m2!1szh-TW!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",神戶市,〒650-0047 兵庫県神戸市中央区港島南町７丁目１−９,動物園,開館時間：午前10時から午後5時まで（最終入園は午後4時30分）です。土日祝日は午前9時30分から午後5時まで営業しています。　休館日：毎週木曜日,TRUE
11,南京町,南京町は、神戸にある中華街で、多彩な中華料理や雑貨が楽しめる、異国情緒あふれる観光スポットです。,南京町は、神戸市中央区に位置する日本三大中華街の一つで、異国情緒あふれる観光スポットとして人気です。1868年の開港以来、華僑が集まり形成されたこのエリアには、狭い路地に中華料理店や中華食材店が軒を連ね、多彩な食文化を楽しむことができます。特に、食べ歩きが名物で、豚まんや餃子、春巻きなどの本格的な中華料理を気軽に味わうことができるのが魅力です。また、旧正月などには華やかなイベントが開催され、多くの観光客が訪れます。,https://www.nankinmachi.or.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.6725006789943!2d135.1881104!3d34.688214200000004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60008efdbdb0aa91%3A0x1d6f1801d67f1901!2z5Y2X5Lqs55S6!5e0!3m2!1sja!2sjp!4v1730853931819!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",神戶市,〒650-0023 兵庫県神戸市中央区栄町通１丁目３−１８,null,年中無休,FALSE
12,átoa,átoaは、神戸にあるデジタル技術とアートを融合した水族館で、独創的な展示と体験が楽しめます。,átoa（アトア）は、神戸にある新感覚の水族館で、デジタルアートと生きた海洋生物が融合した独創的な展示が特徴です。従来の水族館とは異なり、アートギャラリーのような美しい空間で、魚やクラゲなどがデジタル技術とともに演出され、幻想的な体験を提供します。各展示エリアごとに異なるテーマがあり、五感を刺激するアートと生物たちの共演を楽しむことができます。特に、インタラクティブな演出や光と音を駆使した展示が話題で、家族連れやカップルに人気のスポットです。,https://atoa-kobe.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.870148800228!2d135.19104447652452!3d34.683226584148876!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60008fbda0afa7c1%3A0x8f7ee912ecb7c1d4!2z44Ki44OI44Ki!5e0!3m2!1sja!2sjp!4v1730853955964!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",神戶市,〒650-0041 兵庫県神戸市中央区新港町７−２,水族館,"開館時間：10:00-19:00／年中無休（最終入場は閉館の30分前まで）",TRUE
13,神戸布引ハーブ園／ロープウェイ,神戸布引ハーブ園／ロープウェイは、神戸の山中に広がる美しいハーブ園と絶景を楽しめるロープウェイが魅力です。,神戸布引ハーブ園／ロープウェイは、神戸の市街地からロープウェイでアクセスできる、日本最大級のハーブ園です。ロープウェイでは、港や市街地、自然豊かな六甲山の絶景を眺めながら約10分の空中散歩が楽しめます。園内には約200種のハーブや花々が植えられており、四季折々の美しい景観が広がります。また、ハーブを使った料理やリラクゼーション体験も充実しており、自然の中で癒しの時間を過ごすことができます。観光やデートにも人気のスポットです。,https://www.kobeherb.com/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.0298319175395!2d135.1938755!3d34.70442750000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60008ed15662aa59%3A0x825ca47fbd678f55!2z56We5oi45biD5byV44OP44O844OW5ZyS77yP44Ot44O844OX44Km44Kn44Kk!5e0!3m2!1sja!2sjp!4v1730854101669!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",神戶市,〒650-0002 兵庫県神戸市中央区北野町１丁目４−３,植物園,公式サイトで確認してください。,TRUE
14,兵庫県立美術館,兵庫県立美術館は、モダンアートを中心に展示する美術館で、神戸の海辺に位置し、建築も魅力的です。,兵庫県立美術館は、神戸市の海岸沿いに位置する美術館で、主にモダンアートを中心に展示しています。建築家・安藤忠雄氏が設計したモダンな建物も見どころの一つで、館内外の空間デザインが美術作品と調和しています。常設展では、日本や世界の近現代美術作品が展示され、企画展も定期的に開催されています。また、屋外には彫刻作品が展示されており、港の景色を楽しみながら芸術を鑑賞できます。美術ファンだけでなく、神戸の観光名所としても人気です。,https://www.artm.pref.hyogo.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.2349540001683!2d135.21567887652498!3d34.69925338328908!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60008e86906eb067%3A0x828759978b8b47e2!2z5YW15bqr55yM56uL576O6KGT6aSo!5e0!3m2!1sja!2sjp!4v1730854176375!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",神戶市,〒651-0073 兵庫県神戸市中央区脇浜海岸通１丁目１−１,美術館,開館時間：10:00～18:00（入場は17:30まで）休館日：月曜日（祝休日の場合は翌日）、年末年始、メンテナンス休館,TRUE
15,花博記念公園鶴見緑地,花博記念公園 鶴見緑地は、大阪にある広大な公園で、四季折々の花や自然が楽しめる憩いの場です。,"花博記念公園 鶴見緑地は、大阪市鶴見区にある広大な都市公園で、1990年に開催された「国際花と緑の博覧会」（花博）を記念して整備されました。園内には、四季折々の美しい花々が咲き誇る庭園や、風車がシンボルの「風の丘」、日本庭園など、多彩なエリアがあります。また、バーベキュー施設やサイクリングコース、遊具広場なども完備されており、家族連れやピクニックに訪れる人々に人気です。都会の喧騒から離れ、自然を満喫できる憩いのスポットとして、多くの人に親しまれています。",https://www.tsurumi-ryokuchi.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3279.736639861784!2d135.5724420766654!3d34.71182197291575!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e04887e1384d%3A0x3f52690c59d14beb!2z6Iqx5Y2a6KiY5b-15YWs5ZySIOm2tOimi-e3keWcsA!5e0!3m2!1sja!2sjp!4v1730854623566!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒538-0036 大阪府大阪市鶴見区緑地公園２−１６３,公園,年中無休,FALSE
16,神戸海洋博物館,神戸海洋博物館は、神戸港の歴史や海洋文化を紹介する博物館で、帆船風の外観が特徴です。,神戸海洋博物館は、神戸港の歴史や日本の海洋文化を紹介する博物館で、帆船をイメージしたユニークな外観が特徴です。館内では、神戸港の発展や港湾技術、船舶の歴史について学べる展示が充実しており、模型や映像、実物資料などを通じて深く理解できる内容となっています。また、併設されている「カワサキワールド」では、川崎重工業の製品や歴史を紹介し、バイクや新幹線のシミュレーター体験も楽しめます。神戸港の魅力を再発見できる観光スポットとして、家族連れや観光客に人気です。,https://kobe-maritime-museum.com/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6561.782245534677!2d135.18574307666444!3d34.68269727292604!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60008effbed6f627%3A0x2a85589ad081715e!2z56We5oi45rW35rSL5Y2a54mp6aSo!5e0!3m2!1sja!2sjp!4v1730854899546!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒650-0042 兵庫県神戸市中央区波止場町２−２,博物館,開館時間. 10時00分～18時00分（最終入館は17時30分まで)　休館日：月曜日,TRUE
17,大阪天満宮,大阪天満宮は、学問の神・菅原道真を祀る神社で、特に合格祈願で有名な歴史ある神社です。,大阪天満宮は、学問の神として知られる菅原道真公を祀る神社で、合格祈願や学業成就を願う参拝者に親しまれています。創建は10世紀に遡り、大阪の中心に位置する歴史ある神社です。毎年7月に開催される「天神祭」は、日本三大祭りの一つとして有名で、陸と川を舞台に華やかな神輿や船渡御が行われ、多くの人で賑わいます。境内は落ち着いた雰囲気で、受験生や観光客が多く訪れる一方、周囲には商店街やグルメスポットもあり、大阪の文化に触れることができます。,https://osakatemmangu.or.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.36163497187!2d135.510080676665!3d34.69605757292129!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e6dba42a1cef%3A0xa135ef22a79f6eb2!2z5aSn6Ziq5aSp5rqA5a6u!5e0!3m2!1sja!2sjp!4v1730855278471!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒530-0041 大阪府大阪市北区天神橋２丁目１−８,お寺,参拝時間：5：30～18：30（夏期）6：00～18：00（冬期）※ご祈祷・ご祈願受付時間　9：00～16：30,FALSE
18,滋賀県立琵琶湖博物館,滋賀県立琵琶湖博物館は、日本最大の湖・琵琶湖の自然や歴史を学べる博物館で、多彩な展示が魅力です。,滋賀県立琵琶湖博物館は、日本最大の湖である琵琶湖の自然や歴史、人との関わりをテーマにした博物館です。館内には、琵琶湖に生息する魚や植物の展示をはじめ、湖の形成史や地域の暮らしとの関わりを紹介するコーナーがあります。特に水族展示室では、琵琶湖固有の生物を間近で観察でき、学びと驚きが詰まった体験が可能です。また、実物の漁船展示やインタラクティブな展示も多く、子どもから大人まで楽しめます。琵琶湖について深く理解できる観光スポットとして、地元民や観光客に人気があります。,https://www.biwahaku.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3371.8275721756904!2d135.93190386186166!3d35.07316624232537!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6001748c2b5d1c5d%3A0xdd0901c68f4c11b0!2z5ruL6LOA55yM56uL55C155C25rmW5Y2a54mp6aSo!5e0!3m2!1sja!2sjp!4v1730858807735!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",滋賀県,〒525-0001 滋賀県草津市下物町１０９１,博物館;水族館,開館時間：9時30分 - 17時00分（最終入館 16時00分）　休館日：毎週月曜日（休日の場合は開館）、その他臨時休館あり。,TRUE
19,ラ コリーナ近江八幡,ラ コリーナ近江八幡は、自然と調和した建築とスイーツが楽しめる、たねやグループのフラッグシップ店です。,ラ コリーナ近江八幡は、滋賀県近江八幡市に位置するたねやグループのフラッグシップ店で、自然と調和した美しい建築が特徴的です。広大な敷地内には草屋根が印象的なメインショップがあり、焼きたてのバームクーヘンをはじめ、たねややクラブハリエのスイーツを楽しむことができます。また、四季折々の景観が美しく、散策できる庭園や田園風景も見どころです。エコロジーと持続可能性をテーマにした設計が施され、訪れる人々に癒しと驚きを提供する人気の観光スポットとなっています。,https://taneya.jp/la_collina/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2734.463697980824!2d136.0888029330748!3d35.14924575755934!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6001799c015a68f7%3A0xee6919e95d42bbd2!2z44OpIOOCs-ODquODvOODiui_keaxn-WFq-W5oQ!5e0!3m2!1sja!2sjp!4v1730860162529!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",滋賀県,〒523-8533 滋賀県近江八幡市北之庄町６１５−１,建築,営業時間：9:00～18:00(カフェL.O.17:00） · 定休日：1月1日,FALSE
20,八幡堀,八幡堀は、滋賀県近江八幡市にある歴史的な運河で、江戸時代の風情ある景観が楽しめる観光名所です。,八幡堀は、滋賀県近江八幡市にある歴史的な運河で、江戸時代に商業の要として発展した場所です。かつてこの堀を使って物資が琵琶湖から京都、大阪へと運ばれ、近江商人の繁栄に重要な役割を果たしました。現在では、石畳や白壁の町並みが残り、昔ながらの風情を味わえる散策スポットとして人気です。春には桜が堀沿いを彩り、秋には紅葉が映えるため、四季折々の美しい景色が楽しめます。また、屋形船での遊覧もあり、歴史と自然を感じることができる観光名所です。,null,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3262.678154511501!2d136.0873874766794!3d35.139704372766964!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6001799cab7f7a3d%3A0xe43cfda523faed96!2z5YWr5bmh5aCA!5e0!3m2!1sja!2sjp!4v1730860842096!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",滋賀県,〒523-0837 滋賀県近江八幡市大杉町,建築,年中無休,FALSE
